Jakość jedzenia,Jakość obsługi,Wysokość napiwku [%]
0.5,0.75,0.625
0.5,1.0,0.75
0.5,1.25,0.875
0.5,1.5,1.0
0.5,1.75,1.125
0.5,2.0,1.25
0.5,2.25,1.375
0.5,2.5,1.5
0.5,2.75,1.625
0.5,3.0,1.75
0.5,3.25,1.96875
0.5,3.5,2.2
0.5,3.75,2.44375
0.5,4.0,2.7
0.5,4.25,2.96875
0.5,4.5,3.25
0.5,4.75,3.5437499999999997
0.5,5.0,3.85
0.5,5.25,4.0249999999999995
0.5,5.5,4.199999999999999
0.5,5.75,4.374999999999999
0.5,6.0,4.549999999999999
0.5,6.25,4.725
0.5,6.5,4.8999999999999995
0.5,6.75,5.074999999999998
0.5,7.0,5.249999999999999
0.5,7.25,5.424999999999999
0.5,7.5,5.6
0.5,7.75,5.7749999999999995
0.5,8.0,5.949999999999999
0.5,8.25,6.124999999999999
0.5,8.5,6.299999999999999
0.5,8.75,6.475
0.5,9.0,6.6499999999999995
0.5,9.25,6.824999999999999
0.5,9.5,6.999999999999999
0.5,9.75,7.174999999999999
0.5,10.0,7.35
0.75,0.0,0.375
0.75,0.25,0.5
0.75,0.5,0.625
0.75,0.75,0.75
0.75,1.0,0.875
0.75,1.25,1.0
0.75,1.5,1.125
0.75,1.75,1.25
0.75,2.0,1.375
0.75,2.25,1.5
0.75,2.5,1.625
0.75,2.75,1.75
0.75,3.0,1.875
0.75,3.25,2.1
0.75,3.5,2.3375
0.75,3.75,2.5875
0.75,4.0,2.8499999999999996
0.75,4.25,3.1249999999999996
0.75,4.5,3.4124999999999996
0.75,4.75,3.7124999999999995
0.75,5.0,4.025
0.75,5.25,4.199999999999999
0.75,5.5,4.375
0.75,5.75,4.549999999999999
0.75,6.0,4.725
0.75,6.25,4.9
0.75,6.5,5.074999999999999
0.75,6.75,5.25
0.75,7.0,5.424999999999999
0.75,7.25,5.6
0.75,7.5,5.775
0.75,7.75,5.949999999999999
0.75,8.0,6.125
0.75,8.25,6.299999999999999
0.75,8.5,6.475
0.75,8.75,6.65
0.75,9.0,6.824999999999999
0.75,9.25,7.0
0.75,9.5,7.174999999999999
0.75,9.75,7.35
0.75,10.0,7.525
1.0,0.0,0.5
1.0,0.25,0.625
1.0,0.5,0.75
1.0,0.75,0.875
1.0,1.0,1.0
1.0,1.25,1.125
1.0,1.5,1.25
1.0,1.75,1.375
1.0,2.0,1.5
1.0,2.25,1.625
1.0,2.5,1.75
1.0,2.75,1.875
1.0,3.0,2.0
1.0,3.25,2.23125
1.0,3.5,2.4749999999999996
1.0,3.75,2.73125
1.0,4.0,3.0
1.0,4.25,3.28125
1.0,4.5,3.5749999999999997
1.0,4.75,3.8812499999999996
1.0,5.0,4.2
1.0,5.25,4.375
1.0,5.5,4.55
1.0,5.75,4.725
1.0,6.0,4.8999999999999995
1.0,6.25,5.075
1.0,6.5,5.25
1.0,6.75,5.424999999999999
1.0,7.0,5.6
1.0,7.25,5.7749999999999995
1.0,7.5,5.95
1.0,7.75,6.125
1.0,8.0,6.3
1.0,8.25,6.475
1.0,8.5,6.6499999999999995
1.0,8.75,6.825
1.0,9.0,7.0
1.0,9.25,7.175
1.0,9.5,7.35
1.0,9.75,7.5249999999999995
1.0,10.0,7.7
1.25,0.0,0.625
1.25,0.25,0.75
1.25,0.5,0.875
1.25,0.75,1.0
1.25,1.0,1.125
1.25,1.25,1.25
1.25,1.5,1.375
1.25,1.75,1.5
1.25,2.0,1.625
1.25,2.25,1.75
1.25,2.5,1.875
1.25,2.75,2.0
1.25,3.0,2.125
1.25,3.25,2.3625
1.25,3.5,2.6125
1.25,3.75,2.875
1.25,4.0,3.15
1.25,4.25,3.4375
1.25,4.5,3.7375000000000003
1.25,4.75,4.049999999999999
1.25,5.0,4.375
1.25,5.25,4.55
1.25,5.5,4.725
1.25,5.75,4.8999999999999995
1.25,6.0,5.074999999999999
1.25,6.25,5.25
1.25,6.5,5.425
1.25,6.75,5.6
1.25,7.0,5.7749999999999995
1.25,7.25,5.949999999999999
1.25,7.5,6.125
1.25,7.75,6.3
1.25,8.0,6.475
1.25,8.25,6.6499999999999995
1.25,8.5,6.824999999999999
1.25,8.75,7.0
1.25,9.0,7.175
1.25,9.25,7.35
1.25,9.5,7.5249999999999995
1.25,9.75,7.699999999999999
1.25,10.0,7.875
1.5,0.0,0.75
1.5,0.25,0.875
1.5,0.5,1.0
1.5,0.75,1.125
1.5,1.0,1.25
1.5,1.25,1.375
1.5,1.5,1.5
1.5,1.75,1.625
1.5,2.0,1.75
1.5,2.25,1.875
1.5,2.5,2.0
1.5,2.75,2.125
1.5,3.0,2.25
1.5,3.25,2.49375
1.5,3.5,2.75
1.5,3.75,3.01875
1.5,4.0,3.3
1.5,4.25,3.5937499999999996
1.5,4.5,3.8999999999999995
1.5,4.75,4.21875
1.5,5.0,4.55
1.5,5.25,4.725
1.5,5.5,4.8999999999999995
1.5,5.75,5.074999999999999
1.5,6.0,5.249999999999999
1.5,6.25,5.425
1.5,6.5,5.599999999999999
1.5,6.75,5.7749999999999995
1.5,7.0,5.949999999999999
1.5,7.25,6.124999999999999
1.5,7.5,6.3
1.5,7.75,6.475
1.5,8.0,6.6499999999999995
1.5,8.25,6.824999999999999
1.5,8.5,6.999999999999999
1.5,8.75,7.175
1.5,9.0,7.35
1.5,9.25,7.5249999999999995
1.5,9.5,7.699999999999999
1.5,9.75,7.874999999999999
1.5,10.0,8.05
1.75,0.0,0.875
1.75,0.25,1.0
1.75,0.5,1.125
1.75,0.75,1.25
1.75,1.0,1.375
1.75,1.25,1.5
1.75,1.5,1.625
1.75,1.75,1.75
1.75,2.0,1.875
1.75,2.25,2.0
1.75,2.5,2.125
1.75,2.75,2.25
1.75,3.0,2.375
1.75,3.25,2.625
1.75,3.5,2.8875
1.75,3.75,3.1624999999999996
1.75,4.0,3.4499999999999997
1.75,4.25,3.7499999999999996
1.75,4.5,4.0625
1.75,4.75,4.387499999999999
1.75,5.0,4.725
1.75,5.25,4.8999999999999995
1.75,5.5,5.074999999999999
1.75,5.75,5.249999999999999
1.75,6.0,5.424999999999999
1.75,6.25,5.6
1.75,6.5,5.7749999999999995
1.75,6.75,5.949999999999998
1.75,7.0,6.124999999999999
1.75,7.25,6.299999999999999
1.75,7.5,6.475
1.75,7.75,6.6499999999999995
1.75,8.0,6.824999999999999
1.75,8.25,6.999999999999999
1.75,8.5,7.174999999999999
1.75,8.75,7.35
1.75,9.0,7.5249999999999995
1.75,9.25,7.699999999999999
1.75,9.5,7.874999999999999
1.75,9.75,8.049999999999999
1.75,10.0,8.225
2.0,0.0,1.0
2.0,0.25,1.125
2.0,0.5,1.25
2.0,0.75,1.375
2.0,1.0,1.5
2.0,1.25,1.625
2.0,1.5,1.75
2.0,1.75,1.875
2.0,2.0,2.0
2.0,2.25,2.125
2.0,2.5,2.25
2.0,2.75,2.375
2.0,3.0,2.5
2.0,3.25,2.75625
2.0,3.5,3.025
2.0,3.75,3.3062500000000004
2.0,4.0,3.5999999999999996
2.0,4.25,3.90625
2.0,4.5,4.225
2.0,4.75,4.5562499999999995
2.0,5.0,4.9
2.0,5.25,5.074999999999998
2.0,5.5,5.25
2.0,5.75,5.424999999999999
2.0,6.0,5.6
2.0,6.25,5.775
2.0,6.5,5.949999999999999
2.0,6.75,6.125
2.0,7.0,6.299999999999999
2.0,7.25,6.475
2.0,7.5,6.65
2.0,7.75,6.824999999999999
2.0,8.0,7.0
2.0,8.25,7.174999999999999
2.0,8.5,7.35
2.0,8.75,7.525
2.0,9.0,7.699999999999999
2.0,9.25,7.875
2.0,9.5,8.049999999999999
2.0,9.75,8.225
2.0,10.0,8.4
2.25,0.0,1.125
2.25,0.25,1.25
2.25,0.5,1.375
2.25,0.75,1.5
2.25,1.0,1.625
2.25,1.25,1.75
2.25,1.5,1.875
2.25,1.75,2.0
2.25,2.0,2.125
2.25,2.25,2.25
2.25,2.5,2.375
2.25,2.75,2.5
2.25,3.0,2.625
2.25,3.25,2.8875
2.25,3.5,3.1624999999999996
2.25,3.75,3.45
2.25,4.0,3.75
2.25,4.25,4.0625
2.25,4.5,4.387499999999999
2.25,4.75,4.725
2.25,5.0,5.075
2.25,5.25,5.25
2.25,5.5,5.425
2.25,5.75,5.6
2.25,6.0,5.7749999999999995
2.25,6.25,5.95
2.25,6.5,6.125
2.25,6.75,6.299999999999999
2.25,7.0,6.475
2.25,7.25,6.6499999999999995
2.25,7.5,6.825
2.25,7.75,7.0
2.25,8.0,7.175
2.25,8.25,7.35
2.25,8.5,7.5249999999999995
2.25,8.75,7.7
2.25,9.0,7.875
2.25,9.25,8.049999999999999
2.25,9.5,8.225
2.25,9.75,8.399999999999999
2.25,10.0,8.575
2.5,0.0,1.25
2.5,0.25,1.375
2.5,0.5,1.5
2.5,0.75,1.625
2.5,1.0,1.75
2.5,1.25,1.875
2.5,1.5,2.0
2.5,1.75,2.125
2.5,2.0,2.25
2.5,2.25,2.375
2.5,2.5,2.5
2.5,2.75,2.625
2.5,3.0,2.75
2.5,3.25,3.01875
2.5,3.5,3.3
2.5,3.75,3.59375
2.5,4.0,3.9
2.5,4.25,4.21875
2.5,4.5,4.550000000000001
2.5,4.75,4.893749999999999
2.5,5.0,5.25
2.5,5.25,5.425
2.5,5.5,5.599999999999999
2.5,5.75,5.7749999999999995
2.5,6.0,5.949999999999999
2.5,6.25,6.125
2.5,6.5,6.3
2.5,6.75,6.475
2.5,7.0,6.6499999999999995
2.5,7.25,6.824999999999999
2.5,7.5,7.0
2.5,7.75,7.175
2.5,8.0,7.35
2.5,8.25,7.5249999999999995
2.5,8.5,7.699999999999999
2.5,8.75,7.875
2.5,9.0,8.05
2.5,9.25,8.225
2.5,9.5,8.399999999999999
2.5,9.75,8.575
2.5,10.0,8.75
2.75,0.0,1.375
2.75,0.25,1.5
2.75,0.5,1.625
2.75,0.75,1.75
2.75,1.0,1.875
2.75,1.25,2.0
2.75,1.5,2.125
2.75,1.75,2.25
2.75,2.0,2.375
2.75,2.25,2.5
2.75,2.5,2.625
2.75,2.75,2.75
2.75,3.0,2.875
2.75,3.25,3.15
2.75,3.5,3.4375
2.75,3.75,3.7375
2.75,4.0,4.05
2.75,4.25,4.375
2.75,4.5,4.7124999999999995
2.75,4.75,5.0625
2.75,5.0,5.425
2.75,5.25,5.6
2.75,5.5,5.7749999999999995
2.75,5.75,5.949999999999999
2.75,6.0,6.124999999999999
2.75,6.25,6.3
2.75,6.5,6.474999999999999
2.75,6.75,6.6499999999999995
2.75,7.0,6.824999999999999
2.75,7.25,6.999999999999999
2.75,7.5,7.175
2.75,7.75,7.35
2.75,8.0,7.5249999999999995
2.75,8.25,7.699999999999999
2.75,8.5,7.874999999999999
2.75,8.75,8.05
2.75,9.0,8.225
2.75,9.25,8.399999999999999
2.75,9.5,8.575
2.75,9.75,8.75
2.75,10.0,8.925
3.0,0.0,1.5
3.0,0.25,1.625
3.0,0.5,1.75
3.0,0.75,1.875
3.0,1.0,2.0
3.0,1.25,2.125
3.0,1.5,2.25
3.0,1.75,2.375
3.0,2.0,2.5
3.0,2.25,2.625
3.0,2.5,2.75
3.0,2.75,2.875
3.0,3.0,3.0
3.0,3.25,3.28125
3.0,3.5,3.5749999999999997
3.0,3.75,3.8812499999999996
3.0,4.0,4.199999999999999
3.0,4.25,4.53125
3.0,4.5,4.875
3.0,4.75,5.231249999999999
3.0,5.0,5.6
3.0,5.25,5.7749999999999995
3.0,5.5,5.949999999999999
3.0,5.75,6.124999999999999
3.0,6.0,6.299999999999999
3.0,6.25,6.475
3.0,6.5,6.6499999999999995
3.0,6.75,6.824999999999998
3.0,7.0,6.999999999999999
3.0,7.25,7.174999999999999
3.0,7.5,7.35
3.0,7.75,7.5249999999999995
3.0,8.0,7.699999999999999
3.0,8.25,7.874999999999999
3.0,8.5,8.049999999999999
3.0,8.75,8.225
3.0,9.0,8.399999999999999
3.0,9.25,8.575
3.0,9.5,8.75
3.0,9.75,8.924999999999999
3.0,10.0,9.1
3.25,0.0,1.70625
3.25,0.25,1.8375
3.25,0.5,1.96875
3.25,0.75,2.1
3.25,1.0,2.23125
3.25,1.25,2.3625
3.25,1.5,2.49375
3.25,1.75,2.625
3.25,2.0,2.75625
3.25,2.25,2.8875
3.25,2.5,3.01875
3.25,2.75,3.15
3.25,3.0,3.28125
3.25,3.25,3.5546875
3.25,3.5,3.8390624999999994
3.25,3.75,4.134375
3.25,4.0,4.440625
3.25,4.25,4.7578125
3.25,4.5,5.085937500000001
3.25,4.75,5.425
3.25,5.0,5.775
3.25,5.25,5.949999999999998
3.25,5.5,6.125
3.25,5.75,6.299999999999999
3.25,6.0,6.475
3.25,6.25,6.7924999999999995
3.25,6.5,7.068749999999999
3.25,6.75,7.321428571428571
3.25,7.0,7.559374999999999
3.25,7.25,7.7437499999999995
3.25,7.5,7.9281250000000005
3.25,7.75,8.112499999999999
3.25,8.0,8.296875
3.25,8.25,8.48125
3.25,8.5,8.665624999999999
3.25,8.75,8.850000000000001
3.25,9.0,9.034374999999999
3.25,9.25,9.21875
3.25,9.5,9.403125
3.25,9.75,9.587499999999999
3.25,10.0,9.771875
3.5,0.0,1.9249999999999998
3.5,0.25,2.0625
3.5,0.5,2.2
3.5,0.75,2.3375
3.5,1.0,2.4749999999999996
3.5,1.25,2.6125
3.5,1.5,2.75
3.5,1.75,2.8875
3.5,2.0,3.025
3.5,2.25,3.1624999999999996
3.5,2.5,3.3
3.5,2.75,3.4375
3.5,3.0,3.5749999999999997
3.5,3.25,3.8390625
3.5,3.5,4.112500000000001
3.5,3.75,4.3953125
3.5,4.0,4.6875
3.5,4.25,4.989062499999999
3.5,4.5,5.3
3.5,4.75,5.620312499999999
3.5,5.0,5.949999999999999
3.5,5.25,6.125
3.5,5.5,6.3
3.5,5.75,6.475
3.5,6.0,6.649999999999999
3.5,6.25,7.1175
3.5,6.5,7.5
3.5,6.75,7.833928571428571
3.5,7.0,8.1375
3.5,7.25,8.331249999999999
3.5,7.5,8.524999999999999
3.5,7.75,8.71875
3.5,8.0,8.9125
3.5,8.25,9.10625
3.5,8.5,9.299999999999999
3.5,8.75,9.493749999999999
3.5,9.0,9.6875
3.5,9.25,9.88125
3.5,9.5,10.075
3.5,9.75,10.268749999999999
3.5,10.0,10.462499999999999
3.75,0.0,2.15625
3.75,0.25,2.3
3.75,0.5,2.44375
3.75,0.75,2.5875
3.75,1.0,2.73125
3.75,1.25,2.875
3.75,1.5,3.01875
3.75,1.75,3.1624999999999996
3.75,2.0,3.3062500000000004
3.75,2.25,3.45
3.75,2.5,3.59375
3.75,2.75,3.7375
3.75,3.0,3.8812499999999996
3.75,3.25,4.134375
3.75,3.5,4.3953125
3.75,3.75,4.6640625
3.75,4.0,4.940625
3.75,4.25,5.225
3.75,4.5,5.5171875
3.75,4.75,5.817187499999999
3.75,5.0,6.125
3.75,5.25,6.299999999999999
3.75,5.5,6.4750000000000005
3.75,5.75,6.65
3.75,6.0,6.824999999999999
3.75,6.25,7.45
3.75,6.5,7.9437500000000005
3.75,6.75,8.3625
3.75,7.0,8.734375
3.75,7.25,8.9375
3.75,7.5,9.140625
3.75,7.75,9.34375
3.75,8.0,9.546875
3.75,8.25,9.75
3.75,8.5,9.953125
3.75,8.75,10.15625
3.75,9.0,10.359375
3.75,9.25,10.5625
3.75,9.5,10.765625
3.75,9.75,10.96875
3.75,10.0,11.171875
4.0,0.0,2.4
4.0,0.25,2.55
4.0,0.5,2.7
4.0,0.75,2.8499999999999996
4.0,1.0,3.0
4.0,1.25,3.15
4.0,1.5,3.3
4.0,1.75,3.4499999999999997
4.0,2.0,3.5999999999999996
4.0,2.25,3.75
4.0,2.5,3.9
4.0,2.75,4.05
4.0,3.0,4.199999999999999
4.0,3.25,4.440625
4.0,3.5,4.6875
4.0,3.75,4.940625
4.0,4.0,5.199999999999999
4.0,4.25,5.465625
4.0,4.5,5.737499999999999
4.0,4.75,6.015625
4.0,5.0,6.3
4.0,5.25,6.475
4.0,5.5,6.6499999999999995
4.0,5.75,6.825
4.0,6.0,6.999999999999999
4.0,6.25,7.790000000000001
4.0,6.5,8.4
4.0,6.75,8.907142857142857
4.0,7.0,9.35
4.0,7.25,9.5625
4.0,7.5,9.775
4.0,7.75,9.9875
4.0,8.0,10.2
4.0,8.25,10.4125
4.0,8.5,10.625
4.0,8.75,10.8375
4.0,9.0,11.05
4.0,9.25,11.2625
4.0,9.5,11.475
4.0,9.75,11.6875
4.0,10.0,11.9
4.25,0.0,2.65625
4.25,0.25,2.8124999999999996
4.25,0.5,2.96875
4.25,0.75,3.1249999999999996
4.25,1.0,3.28125
4.25,1.25,3.4375
4.25,1.5,3.5937499999999996
4.25,1.75,3.7499999999999996
4.25,2.0,3.90625
4.25,2.25,4.0625
4.25,2.5,4.21875
4.25,2.75,4.375
4.25,3.0,4.53125
4.25,3.25,4.7578125
4.25,3.5,4.989062499999999
4.25,3.75,5.225
4.25,4.0,5.465624999999999
4.25,4.25,5.710937499999999
4.25,4.5,5.9609375
4.25,4.75,6.215624999999999
4.25,5.0,6.475
4.25,5.25,6.6499999999999995
4.25,5.5,6.824999999999999
4.25,5.75,6.999999999999998
4.25,6.0,7.174999999999999
4.25,6.25,8.1375
4.25,6.5,8.86875
4.25,6.75,9.467857142857143
4.25,7.0,9.984375
4.25,7.25,10.20625
4.25,7.5,10.428125
4.25,7.75,10.649999999999999
4.25,8.0,10.871875
4.25,8.25,11.09375
4.25,8.5,11.315625
4.25,8.75,11.5375
4.25,9.0,11.759374999999999
4.25,9.25,11.98125
4.25,9.5,12.203125
4.25,9.75,12.425
4.25,10.0,12.646875
4.5,0.0,2.925
4.5,0.25,3.0875
4.5,0.5,3.25
4.5,0.75,3.4124999999999996
4.5,1.0,3.5749999999999997
4.5,1.25,3.7375000000000003
4.5,1.5,3.8999999999999995
4.5,1.75,4.0625
4.5,2.0,4.225
4.5,2.25,4.387499999999999
4.5,2.5,4.550000000000001
4.5,2.75,4.7124999999999995
4.5,3.0,4.875
4.5,3.25,5.0859375
4.5,3.5,5.3
4.5,3.75,5.5171875
4.5,4.0,5.737499999999999
4.5,4.25,5.9609375
4.5,4.5,6.1875
4.5,4.75,6.4171875
4.5,5.0,6.65
4.5,5.25,6.824999999999998
4.5,5.5,7.0
4.5,5.75,7.174999999999999
4.5,6.0,7.35
4.5,6.25,8.492500000000001
4.5,6.5,9.35
4.5,6.75,10.044642857142858
4.5,7.0,10.6375
4.5,7.25,10.86875
4.5,7.5,11.1
4.5,7.75,11.33125
4.5,8.0,11.5625
4.5,8.25,11.79375
4.5,8.5,12.025
4.5,8.75,12.25625
4.5,9.0,12.4875
4.5,9.25,12.71875
4.5,9.5,12.95
4.5,9.75,13.18125
4.5,10.0,13.4125
4.75,0.0,3.20625
4.75,0.25,3.3749999999999996
4.75,0.5,3.5437499999999997
4.75,0.75,3.7124999999999995
4.75,1.0,3.8812499999999996
4.75,1.25,4.049999999999999
4.75,1.5,4.21875
4.75,1.75,4.387499999999999
4.75,2.0,4.5562499999999995
4.75,2.25,4.725
4.75,2.5,4.893749999999999
4.75,2.75,5.0625
4.75,3.0,5.231249999999999
4.75,3.25,5.425
4.75,3.5,5.620312499999999
4.75,3.75,5.817187499999999
4.75,4.0,6.015625
4.75,4.25,6.215624999999999
4.75,4.5,6.4171875
4.75,4.75,6.620312499999999
4.75,5.0,6.824999999999999
4.75,5.25,7.0
4.75,5.5,7.175
4.75,5.75,7.35
4.75,6.0,7.524999999999999
4.75,6.25,8.855
4.75,6.5,9.84375
4.75,6.75,10.637500000000001
4.75,7.0,11.309375
4.75,7.25,11.55
4.75,7.5,11.790625
4.75,7.75,12.03125
4.75,8.0,12.271875
4.75,8.25,12.5125
4.75,8.5,12.753125
4.75,8.75,12.99375
4.75,9.0,13.234375
4.75,9.25,13.475
4.75,9.5,13.715625
4.75,9.75,13.95625
4.75,10.0,14.196875
5.0,0.0,3.5
5.0,0.25,3.675
5.0,0.5,3.85
5.0,0.75,4.025
5.0,1.0,4.2
5.0,1.25,4.375
5.0,1.5,4.55
5.0,1.75,4.725
5.0,2.0,4.9
5.0,2.25,5.075
5.0,2.5,5.25
5.0,2.75,5.425
5.0,3.0,5.6
5.0,3.25,5.775
5.0,3.5,5.949999999999999
5.0,3.75,6.125
5.0,4.0,6.3
5.0,4.25,6.475
5.0,4.5,6.65
5.0,4.75,6.824999999999999
5.0,5.0,7.0
5.0,5.25,7.175
5.0,5.5,7.349999999999999
5.0,5.75,7.525
5.0,6.0,7.699999999999999
5.0,6.25,9.225
5.0,6.5,10.35
5.0,6.75,11.24642857142857
5.0,7.0,12.0
5.0,7.25,12.25
5.0,7.5,12.5
5.0,7.75,12.75
5.0,8.0,13.0
5.0,8.25,13.25
5.0,8.5,13.5
5.0,8.75,13.75
5.0,9.0,14.0
5.0,9.25,14.25
5.0,9.5,14.5
5.0,9.75,14.75
5.0,10.0,15.0
5.25,0.0,3.675
5.25,0.25,3.849999999999999
5.25,0.5,4.0249999999999995
5.25,0.75,4.199999999999999
5.25,1.0,4.375
5.25,1.25,4.55
5.25,1.5,4.725
5.25,1.75,4.8999999999999995
5.25,2.0,5.074999999999998
5.25,2.25,5.25
5.25,2.5,5.425
5.25,2.75,5.6
5.25,3.0,5.7749999999999995
5.25,3.25,5.949999999999998
5.25,3.5,6.125
5.25,3.75,6.299999999999999
5.25,4.0,6.475
5.25,4.25,6.6499999999999995
5.25,4.5,6.824999999999998
5.25,4.75,7.0
5.25,5.0,7.175
5.25,5.25,7.35
5.25,5.5,7.524999999999999
5.25,5.75,7.7
5.25,6.0,7.874999999999999
5.25,6.25,9.43
5.25,6.5,10.575
5.25,6.75,11.485714285714284
5.25,7.0,12.25
5.25,7.25,12.5
5.25,7.5,12.75
5.25,7.75,13.0
5.25,8.0,13.25
5.25,8.25,13.5
5.25,8.5,13.75
5.25,8.75,14.0
5.25,9.0,14.25
5.25,9.25,14.5
5.25,9.5,14.75
5.25,9.75,15.0
5.25,10.0,15.25
5.5,0.0,3.8499999999999996
5.5,0.25,4.0249999999999995
5.5,0.5,4.199999999999999
5.5,0.75,4.375
5.5,1.0,4.55
5.5,1.25,4.725
5.5,1.5,4.8999999999999995
5.5,1.75,5.074999999999999
5.5,2.0,5.25
5.5,2.25,5.425
5.5,2.5,5.599999999999999
5.5,2.75,5.7749999999999995
5.5,3.0,5.949999999999999
5.5,3.25,6.125
5.5,3.5,6.3
5.5,3.75,6.4750000000000005
5.5,4.0,6.6499999999999995
5.5,4.25,6.824999999999999
5.5,4.5,7.0
5.5,4.75,7.175
5.5,5.0,7.349999999999999
5.5,5.25,7.524999999999999
5.5,5.5,7.699999999999999
5.5,5.75,7.874999999999999
5.5,6.0,8.049999999999999
5.5,6.25,9.634999999999998
5.5,6.5,10.799999999999999
5.5,6.75,11.725
5.5,7.0,12.5
5.5,7.25,12.75
5.5,7.5,13.0
5.5,7.75,13.25
5.5,8.0,13.5
5.5,8.25,13.75
5.5,8.5,14.0
5.5,8.75,14.25
5.5,9.0,14.5
5.5,9.25,14.75
5.5,9.5,15.0
5.5,9.75,15.25
5.5,10.0,15.5
5.75,0.0,4.0249999999999995
5.75,0.25,4.199999999999999
5.75,0.5,4.374999999999999
5.75,0.75,4.549999999999999
5.75,1.0,4.725
5.75,1.25,4.8999999999999995
5.75,1.5,5.074999999999999
5.75,1.75,5.249999999999999
5.75,2.0,5.424999999999999
5.75,2.25,5.6
5.75,2.5,5.7749999999999995
5.75,2.75,5.949999999999999
5.75,3.0,6.124999999999999
5.75,3.25,6.299999999999999
5.75,3.5,6.475
5.75,3.75,6.65
5.75,4.0,6.825
5.75,4.25,6.999999999999998
5.75,4.5,7.174999999999999
5.75,4.75,7.35
5.75,5.0,7.525
5.75,5.25,7.7
5.75,5.5,7.874999999999999
5.75,5.75,8.049999999999999
5.75,6.0,8.224999999999998
5.75,6.25,9.839999999999998
5.75,6.5,11.025
5.75,6.75,11.964285714285714
5.75,7.0,12.75
5.75,7.25,13.0
5.75,7.5,13.25
5.75,7.75,13.5
5.75,8.0,13.75
5.75,8.25,14.0
5.75,8.5,14.25
5.75,8.75,14.5
5.75,9.0,14.75
5.75,9.25,15.0
5.75,9.5,15.25
5.75,9.75,15.5
5.75,10.0,15.75
6.0,0.0,4.199999999999999
6.0,0.25,4.374999999999999
6.0,0.5,4.549999999999999
6.0,0.75,4.725
6.0,1.0,4.8999999999999995
6.0,1.25,5.074999999999999
6.0,1.5,5.249999999999999
6.0,1.75,5.424999999999999
6.0,2.0,5.6
6.0,2.25,5.7749999999999995
6.0,2.5,5.949999999999999
6.0,2.75,6.124999999999999
6.0,3.0,6.299999999999999
6.0,3.25,6.475
6.0,3.5,6.649999999999999
6.0,3.75,6.824999999999999
6.0,4.0,6.999999999999999
6.0,4.25,7.174999999999999
6.0,4.5,7.35
6.0,4.75,7.524999999999999
6.0,5.0,7.699999999999999
6.0,5.25,7.874999999999999
6.0,5.5,8.049999999999999
6.0,5.75,8.224999999999998
6.0,6.0,8.399999999999999
6.0,6.25,10.044999999999998
6.0,6.5,11.25
6.0,6.75,12.203571428571427
6.0,7.0,13.0
6.0,7.25,13.25
6.0,7.5,13.5
6.0,7.75,13.75
6.0,8.0,14.0
6.0,8.25,14.25
6.0,8.5,14.5
6.0,8.75,14.75
6.0,9.0,15.0
6.0,9.25,15.25
6.0,9.5,15.5
6.0,9.75,15.75
6.0,10.0,16.0
